ID Year Sex Age Mass BL BMI RelativeJulian Phi Rho Fitness StMass Mother A animal M2006 M2007 M2008 M2009 M2010 M2011 M2012 M2013 M2014 M2015 M2016 A2006 A2007 A2008 A2009 A2010 A2011 A2012 A2013 A2014 A2015 A2016 A1 A2 BL1 BL2 BMI1 BMI2 BMIPhi1 BMIPhi2 BMIRho1 BMIRho2 RJst RJ2st Ast BLst BMIst FitnessYear OS PhiZ RhoZ FitnessZ
CN06-051 2006 Female A 43.1130263581002 NA 362.783488170672 83.5 0 4 4 1.42927448842411 NA 43.1130263581002 CN06-051 43.1130263581002 NA NA NA NA NA NA NA NA NA NA 43.1130263581002 NA NA NA NA NA NA NA NA NA NA 43.1130263581002 NA NA NA 362.783488170672 NA NA 362.783488170672 362.783488170672 NA 0.0577690074199855 -0.140123985179611 1.24140273951089 NA 1.35022669823159 2.47297297297297 36.6240538740859 0 0 0
CN06-052 2006 Female A 41.8259878203897 NA 398.007634062901 87.3333333333333 0 2 2 1.27668887924037 NA 41.8259878203897 CN06-052 41.8259878203897 NA NA NA NA NA NA NA NA NA NA 41.8259878203897 NA NA NA NA NA NA NA NA NA NA 41.8259878203897 NA NA NA 398.007634062901 NA NA 398.007634062901 398.007634062901 NA 0.177258764775348 -0.0130996308498057 0.880098960641189 NA 1.99090941318023 1.23648648648649 40.7499213653221 0 0 0
CN06-053 2006 Female A 36.2183593246907 NA 321.490360229382 83 0 5 5 0.611873191891604 NA 36.2183593246907 CN06-053 36.2183593246907 NA NA NA NA NA NA NA NA NA NA 36.2183593246907 NA NA NA NA NA NA NA NA NA NA 36.2183593246907 NA NA NA 321.490360229382 NA NA 321.490360229382 321.490360229382 NA 0.042183386895373 -0.156272107763977 -0.694102049374895 NA 0.599156866784441 3.09121621621622 NA 0 0 0
CN06-054 2006 Male J 23.5 NA 215.820683917321 56.5 0 0 0 -0.895959362079824 CN06-104 38.9217838221993 CN06-054 23.5 NA NA NA NA NA NA NA NA NA NA 38.9217838221993 NA NA NA NA NA NA NA NA NA NA 38.9217838221993 NA NA NA 215.820683917321 NA NA 215.820683917321 215.820683917321 NA -0.783854500909091 -0.87333603765893 0.0648165519098274 NA -1.32284105232735 0 NA 0 0 0
CN06-055 2006 Male A 42.5973800026099 NA 374.785774875683 92.8571428571429 1 1 3 1.3681417321231 NA 42.5973800026099 CN06-055 42.5973800026099 NA NA NA NA NA NA NA NA NA NA 42.5973800026099 NA NA NA NA NA NA NA NA NA NA 42.5973800026099 NA NA NA 374.785774875683 NA NA 374.785774875683 374.785774875683 NA 0.34944276295202 0.179967491229333 1.0966479622915 NA 1.56853313084987 1.85472972972973 38.6758715142058 1 8 10
CN06-055 2007 Male A 46.3423175040616 0.121 383.360030127077 44 0 8 8 1.81212499546077 NA 46.3423175040616 CN06-055 NA 46.3423175040616 NA NA NA NA NA NA NA NA NA NA 46.3423175040616 NA NA NA NA NA NA NA NA NA 46.3423175040616 NA 0.121 NA 383.360030127077 NA 383.360030127077 NA 383.360030127077 NA -1.1734950140244 -1.11701266224283 2.14794520884662 1.289061577238 1.7244880019753 5.14666666666667 40.8468497648626 0 0 0
CN06-056 2006 Female A 33.310691275181 NA 305.318047458241 81 1 1 3 0.267152899811005 NA 33.310691275181 CN06-056 33.310691275181 NA NA NA NA NA NA NA NA NA NA 33.310691275181 NA NA NA NA NA NA NA NA NA NA 33.310691275181 NA NA NA 305.318047458241 NA NA 305.318047458241 305.318047458241 NA -0.0201590952030772 -0.219894740889167 -1.51035690360435 NA 0.305002928037017 1.85472972972973 NA 1 1 3
CN06-056 2007 Female A 34.3174811895616 0.1175 292.064206846603 41.5 0 1 1 0.386513468981763 NA 34.3174811895616 CN06-056 NA 34.3174811895616 NA NA NA NA NA NA NA NA NA NA 34.3174811895616 NA NA NA NA NA NA NA NA NA 34.3174811895616 NA 0.1175 NA 292.064206846603 NA 292.064206846603 NA 292.064206846603 NA -1.25142311664747 -1.15847405806755 -1.22772589455878 0.985637940961299 0.0639323109511943 0.643333333333333 38.5664591278977 0 0 0
CN06-058 2006 Male A 39.9502119218007 NA 368.502688742556 70.6666666666667 0 8 8 1.05430516671569 NA 39.9502119218007 CN06-058 39.9502119218007 NA NA NA NA NA NA NA NA NA NA 39.9502119218007 NA NA NA NA NA NA NA NA NA NA 39.9502119218007 NA NA NA 368.502688742556 NA NA 368.502688742556 368.502688742556 NA -0.342261919378403 -0.5238910959809 0.353521938574275 NA 1.45425173154089 4.94594594594595 37.6027296192793 0 0 0
CN06-059 2006 Female J 26.6 NA 202.333846505103 104.8 1 0 2 -0.528437042731836 CN06-051 33.2601459950058 CN06-059 26.6 NA NA NA NA NA NA NA NA NA NA 33.2601459950058 NA NA NA NA NA NA NA NA NA NA 33.2601459950058 NA NA NA 202.333846505103 NA NA 202.333846505103 202.333846505103 NA 0.721716441768479 0.637854736503861 -1.52454622287974 NA -1.56814958686973 1.23648648648649 NA 1 5 7
CN06-059 2007 Female A 36.5947088373489 0.113333333333333 323.243013351762 67.8888888888889 0 5 5 0.656491529239223 CN06-051 36.5947088373489 CN06-059 NA 36.5947088373489 NA NA NA NA NA NA NA NA NA NA 36.5947088373489 NA NA NA NA NA NA NA NA NA 36.5947088373489 NA 0.113333333333333 NA 323.243013351762 NA 323.243013351762 NA 323.243013351762 NA -0.428848700070695 -0.598546154234355 -0.588451365953201 0.624419326346172 0.631035412945499 3.21666666666667 37.3939615079926 0 0 0
