RUN	Year	DeltaBV	Sel	Var	Beta	DeltaBVRecruits	SelRecruits	VarRecruits	BetaRecruits
96	6	0.16447	0.198496	1.25175	0.158575	-0.24384	-0.253301	1.54834	-0.163596
96	7	-0.376866	-1.00852	1.23236	-0.818367	0.0240704	-0.452874	0.878302	-0.515625
96	8	0.109532	0.00529951	0.746083	0.00710311	0.0171005	0.151103	0.409424	0.369062
96	9	-0.12261	-0.446901	0.863101	-0.517785	-0.073664	-0.362587	0.859354	-0.42193
97	0	-0.0279449	0.0110286	0.857436	0.0128624	-0.0344279	-0.0206778	0.857436	-0.0241159
97	1	-0.0101856	-0.170047	1.04795	-0.162265	-0.0387468	-0.158192	0.908718	-0.174083
97	2	-0.0579143	-0.121959	1.17304	-0.103969	-0.0192989	0.0134875	1.18344	0.0113968
97	3	-0.00894143	0.160379	1.05087	0.152615	0.0293045	-0.0290974	0.730186	-0.0398493
97	4	0.0243191	0.0948084	0.83508	0.113532	-0.0527398	-0.0125916	0.630614	-0.0199673
97	5	-0.0711125	-0.488064	0.847287	-0.576032	-0.0913841	0.274567	0.275989	0.99485
97	6	-0.0793212	-0.0734823	0.616443	-0.119204	-0.0954699	-0.00697614	0.44615	-0.0156363
97	7	0.00261152	0.20761	0.754376	0.275207	0.0967566	0.197742	0.452206	0.437284
97	8	-0.00129418	-0.131062	0.896408	-0.146208	-0.0234118	0.0222554	0.883414	0.0251925
97	9	0.0539396	0.199345	0.953128	0.209148	0.0783145	0.332728	0.896103	0.371306
98	0	0.0325142	-0.0101599	0.81534	-0.0124609	0.0295838	0.0110547	0.81534	0.0135583
98	1	-0.0437465	0.0312557	0.885668	0.0352905	-0.0694928	-0.0454222	0.827309	-0.0549035
98	2	-0.0344689	-0.0771591	0.848301	-0.0909573	-0.0738007	0.123104	0.796814	0.154495
98	3	-0.078486	0.0189283	0.984182	0.0192325	-0.0483974	0.123484	0.755217	0.163507
98	4	-0.0966799	0.277395	1.03159	0.268901	-0.153124	0.0972308	1.1813	0.0823083
98	5	-0.0597517	0.0853877	1.04519	0.0816961	0.131309	-0.172207	0.675232	-0.255033
98	6	0.070109	0.406675	0.658202	0.617858	0.155665	0.274048	0.6924	0.395794
98	7	0.211859	-0.43574	0.907879	-0.479954	-0.0379317	-0.203204	0.562659	-0.361149
98	8	-0.0330989	-0.0301501	0.805439	-0.0374331	0.0854681	0.108944	0.555208	0.196222
98	9	0.0793308	0.0306756	0.849937	0.0360916	-0.00859598	0.0112158	0.892858	0.0125617
99	0	0.0353471	0.181353	0.908853	0.19954	0.00866128	0.231374	0.908853	0.254578
99	1	-0.0113628	0.124277	0.928157	0.133896	0.010775	-0.0333839	0.811359	-0.0411457
99	2	-0.0088741	-0.00353799	0.946866	-0.00373652	0.0123657	-0.0463035	0.989022	-0.0468175
99	3	0.026464	0.0710767	0.995585	0.0713918	-0.179265	0.471281	0.882856	0.533813
99	4	-0.348634	-0.151647	1.02894	-0.147382	-0.356134	0.276947	1.06778	0.259367
99	5	-0.187996	0.187694	0.863818	0.217285	0.0585468	0.589017	1.38455	0.425421
99	6	0.046445	-0.251668	0.952465	-0.264228	-0.00604828	-0.0667616	0.491554	-0.135817
99	7	-0.0202808	0.116176	0.789501	0.14715	-0.0107049	0.0788648	0.713992	0.110456
99	8	0.0498586	0.0809142	0.942949	0.0858097	0.0892382	-0.100378	1.05949	-0.0947413
99	9	0.052015	-0.274511	0.947237	-0.289802	0.053236	-0.182759	1.06637	-0.171383
100	0	0.0235727	-0.0326894	0.919166	-0.0355642	0.0716756	-0.135087	0.919166	-0.146967
100	1	0.0381805	0.144892	1.02155	0.141835	-0.0442959	-0.129335	0.973704	-0.132828
100	2	-0.0357967	0.00741663	1.07691	0.00688697	-0.0774433	0.188205	0.753295	0.249843
100	3	-0.0769553	-0.000915503	1.12089	-0.000816766	0.104061	0.328908	1.65198	0.199099
100	4	0.102406	-0.0110412	1.11326	-0.00991787	-0.0625533	0.00447082	1.54191	0.00289954
100	5	-0.0578279	-0.303269	0.94735	-0.320123	0.0425648	-0.293049	0.950576	-0.308286
100	6	-0.000408971	0.357887	1.0087	0.354801	-0.201588	-0.378039	1.64527	-0.229774
100	7	-0.200411	-0.346389	0.958042	-0.361559	-0.0723839	-0.0121045	1.24127	-0.0097517
100	8	-0.0901514	0.509828	1.14168	0.44656	-0.00728129	-0.228996	0.782642	-0.292593
100	9	0.235609	-0.16391	0.869981	-0.188406	0.118302	0.292208	0.877444	0.333022
